Country_name,pred_cost_mean,Type_of_cost_merged,sub_Country_name,sub_pred_cost_mean,event_Country_name,event_pred_cost_mean
Nicaragua,407.8275164,Damage,Sweden,139.8799634,India,3336.319743
Nigeria,2689.598135,Damage,Tanzania,2932.70089,Indonesia,2829.435085
Norway,2305.976029,Damage,Thailand,10302.26532,Indonesia,2829.435085
Pakistan,66.71587,Damage,Timor-Leste,970.6139623,Laos,1403.61676
Panama,217.5895581,Damage,Uganda,2169.523177,Malaysia,1711.329824
Paraguay,1948.318346,Damage,UK,481.3844439,Malaysia,1711.329824
Peru,5229.804565,Damage,USA,106070.7318,Myanmar,1887.736535
Philippines,8606.454899,Damage,Uruguay,1413.305831,Philippines,1910.134508
Portugal,3.133298877,Damage,Vietnam,5780.300759,Philippines,1910.134508
Singapore,3092.814189,Damage,Zambia,1838.179216,Singapore,978.0480182
Spain,152.3189947,Damage,Zimbabwe,1488.036025,Singapore,978.0480182
Suriname,1067.43709,Management,Argentina,1074.503376,Singapore,978.0480182
Sweden,151.0067241,Management,Australia,2455.217436,Thailand,2060.453065
Tanzania,2934.858782,Management,Austria,515.7798762,Thailand,2060.453065
Thailand,12433.51029,Management,Belize,153.9843463,Thailand,2060.453065
Timor-Leste,970.6139623,Management,Benin,0.186633068,Thailand,2060.453065
Togo,0.174891889,Management,Bolivia,311.466294,Timor-Leste,970.6139623
Uganda,2169.523177,Management,Brazil,1955.367708,Vietnam,1884.714496
UK,720.8792686,Management,Cambodia,511.9077947,Vietnam,1884.714496
USA,280769.8553,Management,Canada,1803.192753,Belize,891.039558
Uruguay,1660.242395,Management,Chile,375.8000399,Bolivia,1768.160868
Venezuela,0.02307698,Management,China,821.3792541,Canada,719.386489
Vietnam,6102.775121,Management,Colombia,345.5972959,Chile,2186.923427
Zambia,1868.822585,Management,Cuba,275.7133383,Guatemala,1536.569208
Zimbabwe,1488.036025,Management,Denmark,15.90495712,Paraguay,1657.494869
,,Management,Ecuador,265.4463908,Peru,1865.529131
,,Management,Fiji,12.64075956,Peru,1865.529131
,,Management,Finland,9.188641825,United States,2829.259841
,,Management,France,625.2786135,United States,2829.259841
,,Management,Germany,777.7451882,Suriname,1067.43709
,,Management,Ghana,14.84063204,Uruguay,1413.305831
,,Management,Guatemala,264.6160561,India,3336.319743
,,Management,Iceland,10.90395136,United States,2829.259841
,,Management,India,1245.861883,Malaysia,1711.329824
,,Management,Indonesia,484.3211919,Mexico,3599.334517
,,Management,Italy,75.93303076,Brazil,3694.952041
,,Management,Japan,268.0865248,China,2553.684857
,,Management,Kenya,0.264791979,Thailand,2060.453065
,,Management,Lithuania,0.864438976,Cambodia,1493.23238
,,Management,Malaysia,583.9437587,Cambodia,1493.23238
