Country_name,pred_cost_mean,Type_of_cost_merged,sub_Country_name,sub_pred_cost_mean,event_Country_name,event_pred_cost_mean
Nigeria,1868.270481,Damage,Tanzania,3305.79147,Indonesia,2574.834251
Norway,1683.792454,Damage,Thailand,8817.5358,Indonesia,2574.834251
Pakistan,53.33025162,Damage,Timor-Leste,809.9023056,Laos,1207.376607
Panama,187.1414263,Damage,Uganda,2936.194606,Malaysia,1482.050972
Paraguay,1626.661486,Damage,UK,426.9786037,Malaysia,1482.050972
Peru,4244.396527,Damage,Uruguay,1250.877013,Myanmar,1559.203657
Philippines,7351.460495,Damage,USA,105384.9065,Philippines,1622.521402
Portugal,2.312067159,Damage,Vietnam,5964.939118,Philippines,1622.521402
Singapore,2658.080613,Damage,Zambia,1220.215258,Singapore,839.9863031
Spain,137.9521926,Damage,Zimbabwe,1207.609998,Singapore,839.9863031
Suriname,948.9193665,Management,Argentina,902.5370548,Singapore,839.9863031
Sweden,184.4632976,Management,Australia,2220.421597,Thailand,1763.50716
Tanzania,3307.685816,Management,Austria,468.3358729,Thailand,1763.50716
Thailand,10662.0694,Management,Belize,136.0583999,Thailand,1763.50716
Timor-Leste,809.9023056,Management,Benin,0.117480518,Thailand,1763.50716
Togo,0.099139012,Management,Bolivia,248.1601236,Timor-Leste,809.9023056
Uganda,2936.194606,Management,Brazil,1659.874397,Vietnam,1944.79328
UK,633.6154017,Management,Cambodia,445.5242709,Vietnam,1944.79328
Uruguay,1470.810564,Management,Canada,1522.538887,Belize,782.474301
USA,256879.6131,Management,Chile,295.8981161,Bolivia,1393.907449
Venezuela,0.019014146,Management,China,876.5705815,Canada,628.7684694
Vietnam,6303.430841,Management,Colombia,298.1411102,Chile,1712.355414
Zambia,1239.180087,Management,Cuba,345.2144817,Guatemala,1240.354115
Zimbabwe,1207.609998,Management,Denmark,14.50089187,Paraguay,1381.649166
,,Management,Ecuador,227.0919246,Peru,1498.256913
,,Management,Fiji,12.27415648,Peru,1498.256913
,,Management,Finland,7.635657331,United States,2383.338161
,,Management,France,428.332672,United States,2383.338161
,,Management,Germany,639.066241,Suriname,948.9193665
,,Management,Ghana,27.94275411,Uruguay,1250.877013
,,Management,Guatemala,215.3455622,India,2733.557698
,,Management,Iceland,9.303118722,United States,2383.338161
,,Management,India,1031.374574,Malaysia,1482.050972
,,Management,Indonesia,447.0911247,Mexico,2864.856601
,,Management,Italy,63.19644748,Brazil,3112.174861
,,Management,Japan,268.8209346,China,2700.789702
,,Management,Kenya,0.150983047,Thailand,1763.50716
,,Management,Lithuania,0.819643181,Cambodia,1278.980533
,,Management,Malaysia,512.841727,Cambodia,1278.980533
,,Management,Malta,1.043049942,Vietnam,1944.79328
,,Management,Mexico,560.3807583,United States,2383.338161
,,Management,Netherlands,41.29671672,Cuba,1813.513042
,,Management,New Zealand,2155.766049,Australia,7.861238108
,,Management,Nicaragua,370.1681713,Argentina,52.13649008
,,Management,Norway,41.58071584,Argentina,52.13649008
,,Management,Panama,187.1414263,Argentina,52.13649008
,,Management,Paraguay,245.0123196,Argentina,52.13649008
,,Management,Peru,1146.750115,Argentina,52.13649008
,,Management,Philippines,280.0671077,Argentina,52.13649008
,,Management,Singapore,138.1217039,Argentina,52.13649008
,,Management,Spain,137.9521926,Argentina,52.13649008
,,Management,Sweden,12.73721988,Argentina,52.13649008
,,Management,Tanzania,1.894345953,Brazil,81.08307391
,,Management,Thailand,1844.533596,Brazil,81.08307391
,,Management,Togo,0.099139012,Argentina,345.4732734
,,Management,UK,189.6083108,Argentina,345.4732734
,,Management,Uruguay,219.9335507,Brazil,537.2305328
,,Management,USA,21614.26603,Indonesia,178.474084
,,Management,Venezuela,0.019014146,Vietnam,130.5592784
,,Management,Vietnam,338.491723,Peru,101.1325847
,,Mixed,Australia,7011.155178,United States,143.4229208
,,Mixed,China,343.3584557,Cuba,115.2223095
,,Mixed,Fiji,22.75039834,United States,3.654125598
,,Mixed,Philippines,164.7171707,France,1.507390572
,,Mixed,UK,17.02848723,Italy,1.045842011
,,Mixed,USA,123947.7353,Spain,0.967641755
,,Mixed,Zambia,18.96482874,New Zealand,968.6172225
,,Unspecified,USA,5932.705278,Canada,99.65245502
,,,,,United States,127.5185592
,,,,,United States,1092.1545
,,,,,India,0.000553994
,,,,,Netherlands,0.842537338
,,,,,Argentina,96.55941325
,,,,,Argentina,12.26366051
,,,,,Japan,0.12322098
,,,,,Japan,0.12322098
,,,,,Peru,620.5702386
,,,,,Italy,43.59190965
,,,,,Italy,3.313340238
,,,,,Italy,3.313340238
,,,,,Austria,468.3358729
,,,,,France,423.7807188
,,,,,Germany,505.4466011
,,,,,Canada,1422.886432
,,,,,United States,1819.454483
,,,,,United States,1819.454483
,,,,,United States,1819.454483
,,,,,Canada,3477.807879
,,,,,United States,1047.126179
,,,,,Argentina,117.4633758
,,,,,United States,157.3516462
,,,,,United States,77487.33724
,,,,,United States,1343.169503
,,,,,Argentina,14.26422947
,,,,,United States,312.2192976
,,,,,United States,312.2192976
,,,,,United States,312.2192976
,,,,,United States,312.2192976
,,,,,Sweden,171.7260777
,,,,,Australia,742.294233
,,,,,Australia,264.5415948
,,,,,Australia,324.7148901
,,,,,Australia,50.13739413
,,,,,Australia,50.13739413
,,,,,United Kingdom,0.596180758
,,,,,United Kingdom,0.596180758
,,,,,United States,2.931982385
,,,,,United Kingdom,1.870343868
,,,,,United Kingdom,3.046361073
,,,,,China,29.14293715
,,,,,Sweden,0.732198171
,,,,,Japan,2.553117767
,,,,,Japan,2.553117767
,,,,,Japan,2.553117767
,,,,,Japan,2.553117767
,,,,,China,13920.51016
,,,,,China,13920.51016
,,,,,China,144.8914558
,,,,,Mexico,51.44248492
,,,,,Mexico,196.0262872
,,,,,Mexico,2.706545739
,,,,,Mexico,0.003369765
,,,,,Mexico,0.003369765
,,,,,Mexico,0.003369765
,,,,,Mexico,0.003369765
,,,,,Japan,0.189560591
,,,,,Japan,0.189560591
,,,,,Japan,0.189560591
