Class_code,Species,Type_of_cost_merged,pred_cost_mean
terrinv,Aedes aegypti,Damage,1813.513042
terrinv,Aedes aegypti,Mixed,7.861238108
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,52.13649008
terrinv,Aedes aegypti,Damage,81.08307391
terrinv,Aedes aegypti,Damage,81.08307391
terrinv,Aedes aegypti,Management,345.4732734
terrinv,Aedes aegypti,Management,345.4732734
terrinv,Aedes aegypti,Management,537.2305328
terrinv,Aedes aegypti,Damage,178.474084
terrinv,Aedes aegypti,Damage,130.5592784
terrinv,Aedes aegypti,Damage,101.1325847
terrinv,Aedes aegypti,Damage,143.4229208
terrinv,Aedes aegypti,Damage,115.2223095
terrinv,Aedes albopictus,Management,3.654125598
terrinv,Aedes albopictus,Management,1.507390572
terrinv,Aedes albopictus,Management,1.045842011
terrinv,Aedes albopictus,Management,0.967641755
terrinv,Aedes camptorhynchus,Management,968.6172225
terrinv,Agrilus planipennis,Management,99.65245502
terrinv,Agrilus planipennis,Management,127.5185592
terrinv,Agrilus planipennis,Management,1092.1545
terrinv,Aleurodicus rugioperculatus,Management,0.000553994
Bird,Alopochen aegyptiaca,Damage,0.842537338
terrinv,Anastrepha fraterculus,Damage,96.55941325
terrinv,Anastrepha fraterculus,Management,12.26366051
Reptilia,Anolis carolinensis,Management,0.12322098
Reptilia,Anolis carolinensis,Management,0.12322098
terrinv,Anopheles darlingi,Management,620.5702386
terrinv,Anoplophora chinensis,Management,43.59190965
terrinv,Anoplophora chinensis,Management,3.313340238
terrinv,Anoplophora chinensis,Management,3.313340238
terrinv,Anoplophora glabripennis,Management,468.3358729
terrinv,Anoplophora glabripennis,Management,423.7807188
terrinv,Anoplophora glabripennis,Management,505.4466011
terrinv,Anoplophora glabripennis,Management,1422.886432
terrinv,Anoplophora glabripennis,Management,1819.454483
terrinv,Anoplophora glabripennis,Management,1819.454483
terrinv,Anoplophora glabripennis,Management,1819.454483
terrinv,Anoplophora glabripennis,Damage,3477.807879
terrinv,Anthonomus grandis,Damage,1047.126179
terrinv,Anthonomus grandis,Management,117.4633758
terrinv,Anthonomus grandis,Management,157.3516462
terrinv,Anthonomus grandis,Mixed,77487.33724
terrinv,Anthonomus grandis,Unspecified,1343.169503
terrinv,Anthonomus grandis,Management,14.26422947
terrinv,Anthonomus grandis,Management,312.2192976
terrinv,Anthonomus grandis,Management,312.2192976
terrinv,Anthonomus grandis,Management,312.2192976
terrinv,Anthonomus grandis,Management,312.2192976
terrinv,Arion lusitanicus,Damage,171.7260777
terrinv,Bactrocera philippinensis,Damage,742.294233
terrinv,Bactrocera philippinensis,Management,264.5415948
terrinv,Bactrocera tryoni,Damage,324.7148901
terrinv,Bactrocera tryoni,Management,50.13739413
terrinv,Bactrocera tryoni,Management,50.13739413
terrinv,Bemisia tabaci,Management,0.596180758
terrinv,Bemisia tabaci,Management,0.596180758
Reptilia,Boiga irregularis,Management,2.931982385
Bird,Branta canadensis,Damage,1.870343868
Bird,Branta canadensis,Management,3.046361073
terrinv,Bruchus pisorum,Mixed,29.14293715
terrinv,Bursaphelenchus mucronatus,Management,0.732198171
terrinv,Bursaphelenchus mucronatus,Management,2.553117767
terrinv,Bursaphelenchus mucronatus,Management,2.553117767
terrinv,Bursaphelenchus mucronatus,Management,2.553117767
terrinv,Bursaphelenchus mucronatus,Management,2.553117767
terrinv,Bursaphelenchus mucronatus,Damage,13920.51016
terrinv,Bursaphelenchus mucronatus,Damage,13920.51016
terrinv,Bursaphelenchus mucronatus,Mixed,144.8914558
terrinv,Cactoblastis cactorum,Management,51.44248492
terrinv,Cactoblastis cactorum,Damage,196.0262872
terrinv,Cactoblastis cactorum,Management,2.706545739
terrinv,Cactoblastis cactorum,Management,0.003369765
terrinv,Cactoblastis cactorum,Management,0.003369765
terrinv,Cactoblastis cactorum,Management,0.003369765
terrinv,Cactoblastis cactorum,Management,0.003369765
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Callosciurus erythraeus,Damage,0.189560591
Mammal,Camelus dromedarius,Damage,1.984917886
Mammal,Camelus dromedarius,Damage,1.984917886
Mammal,Camelus dromedarius,Damage,1.984917886
Mammal,Camelus dromedarius,Damage,1.984917886
Mammal,Camelus dromedarius,Damage,1.984917886
Mammal,Camelus dromedarius,Damage,1.984917886
Mammal,Camelus dromedarius,Damage,1.984917886
Mammal,Camelus dromedarius,Damage,1.984917886
Mammal,Camelus dromedarius,Management,0.979011383
Mammal,Camelus dromedarius,Management,0.26918811
Mammal,Camelus dromedarius,Management,0.26918811
Mammal,Camelus dromedarius,Management,0.26918811
Mammal,Camelus dromedarius,Management,0.26918811
Mammal,Camelus dromedarius,Management,0.26918811
Mammal,Camelus dromedarius,Damage,0.054393291
Mammal,Camelus dromedarius,Management,6.646670141
Mammal,Camelus dromedarius,Damage,7.095018276
Mammal,Camelus dromedarius,Damage,7.095018276
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
Mammal,Camelus dromedarius,Management,0.95125769
terrinv,Cameraria ohridella,Management,62.43424869
Mammal,Canis lupus,Damage,86.00819853
Mammal,Canis lupus,Damage,86.00819853
Mammal,Canis lupus,Management,1468.50447
Mammal,Canis lupus,Management,3084.076999
Mammal,Canis lupus,Damage,2228.032017
