Class_code,Species,Type_of_cost_merged,pred_cost_mean,s_Class_code,s_Species,s_Damage,s_manage,s_mixed,s_unspecified,s_pred_cost_mean
terrinv,Aedes aegypti,Management,11787.93465,Freshwater,Procambarus clarkii,0,0,0,0,7.361413954
terrinv,Aedes aegypti,Mixed,7.861238108,terrinv,Aedes albopictus,0,0,0,0,7.174999936
terrinv,Aedes albopictus,Management,7.174999936,terrinv,Vespa velutina,0,0,0,0,6.787212863
terrinv,Aedes camptorhynchus,Management,968.6172225,terrinv,Linepithema humile,0,0,0,0,6.570199028
terrinv,Agrilus planipennis,Management,1319.325514,Bird,Phasianus colchicus,0,0,0,0,6.366248284
terrinv,Aleurodicus rugioperculatus,Management,0.000553994,terrinv,Daktulosphaira vitifoliae,0,0,0,0,5.680126798
terrinv,Anastrepha fraterculus,Damage,96.55941325,Mammal,Mustela erminea,0,0,0,0,5.531955069
terrinv,Anastrepha fraterculus,Management,12.26366051,Bird,Branta canadensis,0,0,0,0,4.916704941
terrinv,Anopheles darlingi,Management,620.5702386,Mammal,Nyctereutes procyonoides,0,0,0,0,4.760850382
terrinv,Anoplophora chinensis,Management,50.21859013,Bird,Myiopsitta monachus,0,0,0,0,4.324838094
terrinv,Anoplophora glabripennis,Damage,3477.807879,terrinv,Globodera rostochiensis,0,0,0,0,3.340270808
terrinv,Anoplophora glabripennis,Management,8278.813074,Mammal,Callosciurus erythraeus,0,0,0,0,3.032969456
terrinv,Anthonomus grandis,Damage,1047.126179,Reptilia,Boiga irregularis,0,0,0,0,2.931982385
terrinv,Anthonomus grandis,Management,1537.956442,terrinv,Thrips palmi,0,0,0,0,2.68660869
terrinv,Anthonomus grandis,Mixed,77487.33724,Mammal,Rattus exulans,0,0,0,0,2.509903577
terrinv,Anthonomus grandis,Unspecified,1343.169503,terrinv,Raoiella indica,0,0,0,0,2.156574363
terrinv,Arion lusitanicus,Damage,171.7260777,terrinv,Vespula vulgaris,0,0,0,0,2.1042945
terrinv,Bactrocera philippinensis,Damage,742.294233,Mammal,Hemitragus jemlahicus,0,0,0,0,1.927831987
terrinv,Bactrocera philippinensis,Management,264.5415948,terrinv,Trogoderma granarium,0,0,0,0,1.894345953
terrinv,Bactrocera tryoni,Damage,324.7148901,terrinv,Dendroctonus micans,0,0,0,0,1.572560506
terrinv,Bactrocera tryoni,Management,100.2747883,Mammal,Castor canadensis,0,0,0,0,1.394748649
terrinv,Bemisia tabaci,Management,1.192361516,Reptilia,Trachemys scripta,0,0,0,0,1.376323746
terrinv,Bruchus pisorum,Mixed,29.14293715,Mammal,Herpestes javanicus,0,0,0,0,1.246086441
terrinv,Bursaphelenchus mucronatus,Damage,27841.02032,terrinv,Bemisia tabaci,0,0,0,0,1.192361516
terrinv,Bursaphelenchus mucronatus,Management,10.94466924,Mammal,Muntiacus reevesi,0,0,0,0,1.14890035
terrinv,Bursaphelenchus mucronatus,Mixed,144.8914558,Mammal,Equus caballus,0,0,0,0,1.036607891
terrinv,Cactoblastis cactorum,Damage,196.0262872,Bird,Alopochen aegyptiaca,0,0,0,0,0.842537338
terrinv,Cactoblastis cactorum,Management,54.16250972,Bird,Cygnus olor,0,0,0,0,0.825302202
